adjective, child prenominal count, child postnominal count, adult prenominal count, adult postnominal count
agro-alimentaire,0,0,0,1
anglais,0,0,21,51
récurrent,0,0,0,3
premier venu,0,0,0,2
dominicain,0,0,0,1
géorgien,0,0,0,3
diaphragmatique,0,0,0,1
minable,0,0,0,3
demi,0,0,18,3
petit#à#petit,0,0,0,1
penché,0,0,0,2
perfide,0,0,2,0
égalitaire,0,0,0,1
nécro,0,0,0,1
hérite,0,0,0,1
torsadé,0,0,0,1
septique,0,0,0,1
nazi,0,0,0,1
coquin,0,0,0,2
nosci,0,0,1,0
attentif,0,0,1,1
tortue,0,0,0,1
hommistes,0,0,0,1
religieux,0,0,0,19
linéaire,0,0,0,1
nuovo,0,0,0,2
étale,0,0,0,1
débile,0,0,0,3
occupé,0,0,0,2
voisin,0,0,0,11
capricieux,0,0,0,1
central,0,0,3,29
rémunéré,0,0,0,2
aléatoire,0,0,0,2
descendu,0,0,0,1
en titre,0,0,0,1
vai,0,0,1,0
charmant,0,0,2,1
parental,0,0,1,6
pointu,0,1,0,2
odorant,0,0,0,1
mi-frais,0,0,1,0
aveugle,0,0,0,2
autiste,0,0,0,2
anti-suicidaires,0,0,0,1
invariable,0,0,0,1
résolutoire,0,0,0,1
cetera,0,0,0,2
complété,0,0,0,1
napoléonien,0,0,0,1
bouddhique,0,0,1,0
psychanalytique,0,0,0,2
#,0,0,0,2
alémanique,0,0,0,2
alphabétique,0,0,0,7
cylindrique,0,0,0,1
sci~,0,0,1,0
py-~,0,0,1,0
tip,0,0,1,0
parallèle,0,0,0,5
droit,1,0,20,85
finissent,0,0,0,1
mesquin,0,0,1,0
guttural,0,0,0,1
sensé,0,0,0,1
irrégulier,0,0,0,1
près#du,0,0,1,0
blessé,0,0,0,1
woonde,0,0,0,1
chantant,0,0,0,1
échevinal,0,0,0,2
lillois,0,0,0,1
glauque,0,0,0,1
gadji,0,0,1,0
australien,0,0,0,1
osseux,0,0,0,3
victime,0,0,0,1
content,0,0,2,6
access,0,0,0,1
fonctionnel,0,0,0,4
not,0,0,1,1
habituel,0,0,0,15
natal,0,0,0,4
poufiasse,0,0,0,1
fédère,0,0,0,2
nationaliste,0,0,2,4
concernant,0,0,2,3
efflanqué,0,0,0,1
amoureux,0,0,3,5
semi-directif,0,0,0,1
élu,0,0,1,2
probable,0,0,2,1
mobilier,0,0,2,3
nimi,0,0,0,1
numérique,0,0,1,15
bij,0,0,0,1
génials,0,0,0,1
incompréhensible,0,0,6,265
blanchissant,0,0,0,1
dix-neuvième,0,0,18,6
alternatif,0,0,0,5
domanial,0,0,0,2
aprem,0,0,0,1
pénal,0,0,1,3
existant,0,0,0,18
moderque,0,0,0,2
con,0,0,2,1
universitaire,0,0,0,29
secondaire,0,0,3,18
adorable,0,0,0,4
abattu,0,0,0,1
relatif,0,0,0,3
aberrant,0,0,0,3
encombrant,0,0,0,1
approfondi,0,0,0,2
reprendre,0,0,1,1
nature,0,0,0,1
antinomique,0,0,1,0
fantôme,0,0,0,1
immigré,0,0,1,2
autr-,0,0,1,0
novèle,0,0,1,0
verviétoise,0,0,0,1
rond,0,0,3,13
aigre,0,0,0,2
quand#même,0,0,1,0
comique,0,0,1,4
à long terme,0,0,0,5
infernal,0,0,0,3
paresseux,0,0,0,1
raciste,0,0,1,3
germanique,0,0,1,7
guerrier,0,0,1,6
surnaturel,0,0,0,3
muet,0,0,0,7
déclaré,0,0,0,4
intime,0,0,2,6
humaniste,0,0,0,2
admire,0,0,0,1
patronal,0,0,0,2
élivra~,0,0,0,1
opératoire,0,0,0,4
magnifique,0,0,5,32
dénué,0,0,0,1
disponible,0,0,0,10
inconscient,0,0,1,1
grisé,0,0,0,1
prononcé,0,0,0,4
marital,0,0,0,2
dégueulasse,0,0,0,6
accessible,0,0,0,2
all-~,0,0,0,1
frit,0,0,2,3
contraire,0,0,0,3
fish,0,0,0,2
ingérable,0,0,1,0
empaillé,0,0,0,1
li-~,0,0,1,0
ahurissant,0,0,0,1
terrifiant,0,0,0,2
aromatique,0,0,0,1
neuvième,0,0,1,1
confrontons-nous,0,0,1,1
viril,0,0,0,1
final,0,0,1,16
pluriel,0,0,0,2
frontalier,0,0,0,2
super,1,0,147,68
cautionné,0,0,0,1
beau,71,1,331,55
fleuriste,0,0,1,0
gravitent,0,0,0,1
noémie,0,0,1,2
commémoratif,0,0,0,1
brut,0,0,2,8
plat,0,0,1,12
narquois,0,0,0,1
states,0,0,0,1
équilibré,0,0,0,1
blade,0,0,0,1
travailleur,0,0,1,2
habitant,0,0,1,1
urbain,0,0,2,17
discursif,0,0,0,1
convaincant,0,0,0,1
psychiatrique,0,0,0,3
éminent,0,0,1,2
fabriqué,0,0,0,2
décalé,0,0,0,1
orthopédique,0,0,0,2
rencontré,0,0,0,1
céramique,0,0,0,2
calamiteux,0,0,0,1
citoyen,0,0,0,1
lavé,0,0,0,1
filial,0,0,0,2
hybride,0,0,0,1
prématuré,0,0,0,1
derrière,0,0,0,1
hyper-perfectionné,0,0,0,1
vriendschap,0,0,1,0
objectif,0,0,9,12
spectacu-laire,0,0,0,1
gaulois,0,0,0,2
fermé,4,1,0,14
hiérarchique,0,0,0,4
scientifique,0,0,0,21
sucré,0,0,0,3
injuste,0,0,0,1
grand-mère,0,0,1,0
dissolu,0,0,0,1
enragé,0,0,0,1
pâle,0,0,0,2
vingtième,0,0,9,2
contractuel,0,0,0,1
en#arrière,0,0,0,1
somptueux,0,0,0,5
atlantique,0,0,0,6
nombreux,0,0,25,7
liné,0,0,1,1
élitiste,0,0,0,1
audio-visuel,0,0,1,3
réticent,0,0,0,1
indispensable,0,0,2,1
par excellence,0,0,0,2
abominable,0,0,0,4
inestimable,0,0,0,5
spectaculaire,0,0,2,1
soutif,0,0,1,0
emporté,0,0,0,1
baby,0,0,0,1
meer,0,0,0,1
réalisé,0,0,0,1
endetté,0,0,1,2
musicien,0,0,0,13
institutionnel,0,0,0,4
auto-ethnogrpahique,0,0,0,1
excel,0,0,0,1
morbide,0,0,0,1
préconçu,0,0,0,3
allant,0,0,0,3
the,0,0,4,3
gênant,0,0,0,1
fonctionne,0,0,0,1
uppsala,0,0,0,1
soigné,0,0,1,0
bigouden,0,0,0,3
maritime,0,0,0,1
récapitulatif,0,0,0,8
escarpé,0,0,0,2
politico-sociale,0,0,0,1
cache-la,0,0,0,1
me-,0,0,1,1
freestyle,0,0,1,0
acrylique,0,0,0,1
pompier,2,4,1,1
informe,0,0,0,1
signalétique,0,0,0,4
carcéral,0,0,0,2
près#des,0,0,4,0
touristes,0,0,0,1
paraconstitutionnel,0,0,0,1
barbu,0,0,0,6
artistique,0,0,0,13
kora,0,0,0,1
caramel,0,0,2,0
propre,0,0,69,41
vivant,0,0,0,11
démarre,0,0,0,1
vertébral,0,0,0,1
sous-entendu,0,0,0,1
parl-~,0,0,1,1
tendre,0,0,1,1
officiel,0,0,1,16
extérieur,0,0,1,27
hardcore,0,0,0,2
core,0,0,0,1
rebelle,0,0,0,2
vivace,0,0,0,1
montagneux,0,0,0,2
basis,0,0,1,1
traversière,0,0,0,2
génial,0,0,2,5
possi-,0,0,1,0
inidentifiables,0,0,0,1
migratoire,0,0,0,2
interdit,0,0,0,6
seele,0,0,1,0
jeune,0,0,129,42
vallonnée,0,0,0,1
astor,0,0,0,8
inefficace,0,0,0,1
militaire,0,0,0,24
dit,0,0,1,9
variable,0,0,0,3
hormis,0,0,0,3
chauve,0,0,0,2
flute,0,0,0,1
oblique,0,0,0,1
or~,0,0,1,1
cer~,0,0,0,1
égratigné,0,0,0,2
décoratif,0,0,0,1
naval,0,0,0,3
goa',0,0,1,1
stable,0,0,0,2
sidatiques,0,0,0,2
incessant,0,0,0,1
tourisme,0,0,1,0
kureru,0,0,1,1
fort,5,4,30,45
visuel,0,0,2,10
courbe,0,0,0,1
lopesque,0,0,0,1
mal,3,1,0,0
compact,0,0,0,1
compétent,0,0,0,2
commandant,0,0,1,0
catégorique,0,0,0,2
potentiel,0,0,0,5
humble,0,0,1,0
touristique,0,0,0,25
décisionnel,0,0,0,2
emp~,0,0,1,0
auxquelles,0,0,0,1
nuageux,0,0,0,1
équivalent,0,0,2,6
intercepte,0,0,0,1
carolorégien,0,0,0,2
escamotable,0,0,0,1
susceptible,0,0,0,4
interrogé,0,0,0,1
moultes,0,0,1,0
féminin,0,0,2,15
crânien,0,0,0,2
crochu,0,0,0,2
excellent,0,0,17,9
péjoratif,0,0,0,4
termi~,0,0,0,1
anglo~,0,0,0,2
équin,0,0,2,3
acoustique,0,0,1,7
pyramidal,0,0,0,2
apolitique,0,0,0,1
apte,0,0,0,2
expliquez-moi,0,0,0,1
implacable,0,0,0,1
égal,0,0,1,6
endogène,0,0,0,1
handicapé,0,0,0,11
pénible,1,0,1,5
épilatoire,0,0,0,3
échangiste,0,0,0,2
toujours pas,0,0,1,0
sain,0,0,1,5
générateur,0,0,0,2
initiatique,0,0,0,3
banlieusard,0,0,1,0
gonflable,0,0,0,3
léger,0,0,11,10
passe-partout,0,0,0,1
grillé,0,0,0,2
provisoire,0,0,0,4
concis,0,0,2,3
latéral,0,0,0,2
forcé,0,0,0,4
attachant,0,0,0,1
pré-scolaire,0,0,0,1
incontrôlable,0,0,0,1
déficitaire,0,0,0,2
carré,0,0,0,33
féministe,0,0,0,1
séché,0,0,0,1
soi-disant,0,0,0,2
poisseux,0,0,0,1
anglo-saxon,0,0,0,2
digne,0,0,1,3
vertical,0,0,0,1
*boujat*,0,0,0,1
su-~,0,0,1,0
respectif,0,0,0,3
aimé,0,0,2,1
artificiel,0,0,0,9
bisannuel,0,0,0,1
directeur,0,0,0,1
pacifique,0,0,0,5
se-,0,0,1,1
bête,0,0,0,6
malate,0,0,0,1
lyonnais,0,0,0,4
éniv-,0,0,2,0
pire,0,0,1,5
productif,0,0,0,1
-cle,0,0,0,1
coupable,0,0,0,2
commercial,0,0,0,62
sociologique,0,0,0,2
moral,0,0,1,14
cast,0,0,0,1
liquide,0,0,0,5
al,0,0,9,8
inachevé,0,0,0,1
amarré,0,0,0,1
adverse,0,0,0,2
intervenues,0,0,0,5
grota,0,0,0,1
fétiche,0,0,0,3
annexe,0,0,0,2
tranquille,0,0,5,21
clavulonique,0,0,0,1
pragmatique,0,0,0,2
client,0,0,3,12
mérengué,0,0,2,2
dû,0,0,0,2
brouillé,0,0,0,3
pressenti,0,0,0,1
obligatoire,0,0,0,17
vilain,4,0,4,1
olympique,0,0,0,3
probatoire,0,0,1,1
rapide,0,0,1,11
par-rapport-à,0,0,0,1
imputable,0,0,0,2
référence,0,0,1,1
liégeois,0,0,0,15
pompeux,0,0,0,1
berbère,0,0,0,1
mixte,0,0,1,5
renouvelable,0,0,0,2
compliqué,0,0,1,4
prémonitoire,0,0,0,1
diabolique,0,0,1,0
proposé,0,0,0,1
internationals,0,0,0,1
-dernière,0,0,0,1
incandescent,0,0,0,1
moindre,0,0,28,3
malien,0,0,0,3
normands,0,0,1,1
automobile,0,0,1,3
niçois,0,0,0,1
multilingue,0,0,0,1
défavorisé,0,0,0,6
direct,0,0,5,26
novem-~,0,0,1,0
multicolore,0,0,0,1
total,0,0,6,26
*raick*,0,0,0,2
algérien,0,0,0,1
impor-tantes,0,0,0,1
journalier,0,0,0,1
privé,0,0,0,28
chelou,0,0,0,1
chocolaté,0,0,0,1
vert,4,1,6,78
rentable,0,0,0,4
boeuf,0,0,0,1
douzième,0,0,7,6
design,0,0,0,2
humanitaire,0,0,1,4
résiduel,0,0,0,2
pertinent,0,0,0,1
flap,0,0,2,6
développé,0,0,0,1
mineur,0,0,0,1
régulier,0,0,0,8
jeté,0,0,0,1
socioprofessionnel,0,0,0,3
dégoûtant,0,0,0,1
nucléaire,0,0,0,2
chauffant,0,0,0,1
fusionnel,0,0,0,2
sympathique,0,0,4,19
cycliste,0,0,0,1
haché,0,0,1,2
permanent,0,0,0,13
pluvial,0,0,0,3
endurci,0,0,0,2
néoclassicisme,0,0,0,1
maison,0,0,1,5
shebash,0,0,1,0
bilatéral,0,0,0,1
naturaliste,0,0,0,2
rue-royale,0,0,2,1
goll,0,0,1,0
illumine,0,0,0,1
académique,0,0,0,15
inconnu,0,0,0,4
intégré,0,0,0,2
conducteur,0,0,0,1
faramineux,0,0,0,1
affreux,0,0,2,1
biais,0,0,1,1
estimé,0,0,1,0
marginal,0,0,0,1
value,0,0,0,1
astral,0,0,0,4
insupportable,0,0,0,1
garant,0,0,0,2
cuit,0,0,0,4
choisiriez-vous,0,0,0,1
familliale,0,0,0,1
allumé,0,0,0,1
non-re,0,0,0,1
f-~,0,0,1,2
demi-aile,0,0,0,1
sexuel,0,0,0,9
dorsal,0,0,0,2
tibétain,0,0,0,1
au fait,0,0,1,10
graphique,0,0,0,5
trimestriel,0,0,0,2
supérieur,0,0,1,41
jaune,1,1,6,32
fécond,0,0,0,1
*pauline*,0,0,1,1
géométrique,0,0,0,1
externe,0,0,0,8
exquis,0,0,0,5
étonné,0,0,0,1
multiglisse,0,0,0,1
structurel,0,0,0,1
composant,0,0,0,1
like,0,0,1,1
amical,0,0,0,9
srilankaise,0,0,1,0
culturel,0,0,2,63
profesionnelle,0,0,0,1
spirituel,0,0,1,2
autistique,0,0,0,1
you,0,0,0,2
franco-japonaise,0,0,0,1
affluent,0,0,0,1
filmi-,0,0,1,0
reconnaissant,0,0,0,1
that',0,0,1,1
héréditaire,0,0,0,2
intégrant,0,0,0,1
phonologique,0,0,1,2
online,0,0,1,1
latin,0,0,2,20
rigoureux,0,0,1,3
récessif,0,0,1,0
nasillard,0,0,0,1
manuel,0,0,1,12
romand,0,0,0,9
châlonnais,0,0,0,2
actif,0,0,0,12
usité,0,0,0,1
réactif,0,0,0,1
habillé,2,0,0,0
glorieux,0,0,0,2
cruel,0,0,0,2
étranglé,0,0,0,2
agressé,0,0,0,1
nommé,0,0,5,3
marron,0,0,0,4
litté-~,0,0,1,2
savoyard,0,0,0,1
valaisannes,0,0,0,1
paroissial,0,0,0,1
trouble,0,0,0,4
malhonnête,0,0,1,1
ménager,0,0,0,7
antique,0,0,0,7
préalable,0,0,0,3
articulaire,0,0,1,2
technique,0,0,8,64
amérindien,0,0,0,1
civilisationnel,0,0,0,1
coréen,0,0,0,5
man',0,0,2,2
légal,0,0,1,7
pauvre,1,0,19,14
lourd,0,0,1,6
tégie,0,0,0,1
aménagé,0,0,0,3
planétaire,0,0,0,8
diesel,0,0,0,1
surmené,0,0,0,1
metal,0,0,0,2
célibataire,0,0,0,3
durable,0,0,0,6
louis-quatorzien,0,0,0,1
cédant,0,0,0,1
adriatique,0,0,0,1
inca,0,0,0,3
prostré,0,0,0,1
spécials,0,0,0,1
maçonnique,0,0,0,1
domestique,0,0,0,2
significatif,0,0,0,2
way,0,0,1,1
familial,0,0,2,51
extincteur,0,0,0,1
libre,0,0,8,34
superposé,0,0,0,3
cadenassé,0,0,1,2
impulsionnelle,0,0,0,1
tecktonic,0,0,0,1
humide,0,0,1,1
continué,0,0,0,2
canadien,0,0,0,4
partiel,0,0,0,11
indéterminé,0,0,0,3
groupé,0,0,1,1
textile,0,0,0,3
fallait-il,0,0,0,1
roulant,0,0,0,5
gagu,0,0,0,1
exigeant,0,0,0,1
donné,2,0,0,0
paralysé,0,0,0,2
three,0,0,2,2
plan-~,0,0,1,2
*klinkenberg*,0,0,0,1
hostile,0,0,0,2
intellectuel,0,0,0,15
légitime,0,0,0,5
biblique,0,0,0,1
circonstancié,0,0,0,1
haïtien,0,0,0,1
grandissait,0,0,0,1
sévriennes,0,0,0,1
inattendu,0,0,0,1
rock'n'roll,0,0,2,7
chocolat,0,0,0,1
grandaient,0,0,0,1
scandal,0,0,0,1
déterminé,0,0,0,1
rose,1,0,1,12
athéiste,0,0,1,0
ineffable,0,0,0,1
mé~,0,0,1,1
*hanse*,0,0,0,1
skin,0,0,2,1
préexistant,0,0,0,3
confus,0,0,0,1
électronique,0,0,0,21
écrasant,0,0,1,2
eristoff,0,0,1,1
identique,0,0,0,5
différen-~,0,0,0,2
matériel,0,0,0,11
magnétique,0,0,0,1
méti~,0,0,0,2
impliqué,0,0,0,3
mondial,0,0,0,23
bourré,0,0,1,0
philippe,0,0,0,1
fr-,0,0,1,1
manchot,0,0,0,1
simultané,0,0,0,1
hi-fi,0,0,0,1
aimable,0,0,1,1
freudien,0,0,0,2
savant,0,0,1,2
vieillot,0,0,0,3
détaillé,0,0,0,2
utilisé,0,0,0,1
cosmopolite,0,0,0,1
toulousain,0,0,0,1
éthologique,0,0,0,2
vocal,0,0,0,3
mécontent,0,0,0,1
interdépendant,0,0,0,1
coïncident,0,0,0,1
lettres,0,0,1,0
aigri,0,0,0,1
libéral,0,0,9,4
logistique,0,0,0,2
potable,0,0,0,7
mystérieux,0,0,0,1
saisonnier,0,0,0,1
usé,0,0,0,4
abricot,0,0,0,3
franc-comtois,0,0,0,1
bourgeois,0,0,0,4
paques,0,0,0,1
émigré,0,0,0,1
ad#hoc,0,0,0,1
redoutable,0,0,0,1
be,0,0,1,2
dialectal,0,0,0,5
majeur,0,0,1,9
avait-il,0,0,0,1
annuel,0,0,0,5
bibliographique,0,0,0,5
cantona,0,0,1,1
absolu,0,0,0,7
brillant,0,0,4,4
fréquent,0,0,3,3
petit,1054,69,2484,90
logiciel,0,0,1,1
sentimental,0,0,0,1
vicieux,0,0,0,3
séparé,0,0,2,5
cultissime,0,0,0,1
art-graphique,0,0,0,2
