Word, Count
meilleur,=3
cygnes,=1
charmant,=2
quatres,=2
super,=11
droit,=2
acoustique,=2
double,=3
drôle,=1
violettes,=2
violette,=4
fous,=2
carré,=5
nouvel,=1
perturbateur,=1
noires,=4
bons,=2
triste,=3
tordu,=1
bonnes,=8
brunes,=1
autres,=70
ventrale,=1
incroyable,=1
dingo,=1
animés,=3
imagines,=1
radical,=1
cassés,=1
marteaux,=1
brute,=3
excité,=1
zéro,=2
joli,=54
salées,=2
cane,=1
beaux,=14
parfait,=4
douce,=1
rase,=1
technique,=1
magnifique,=1
japonaise,=1
quelque,=2
moindre,=4
quels,=2
chaude,=5
coquine,=2
fine,=1
géants,=1
minuscule,=8
content,=7
vieux,=10
complémentaires,=1
basse,=2
joyeux,=4
frais,=3
particulier,=1
rusé,=2
juste,=6
bel,=5
inquiet,=1
coquins,=1
grise,=1
dangereux,=1
vert,=51
suivante,=4
moi,=1
arrière,=1
violent,=1
censé,=2
certain,=1
blond,=1
solaire,=1
taupe,=2
difficile,=4
carrée,=1
fou,=5
fraîche,=1
quel,=1
sacrée,=2
belles,=16
désolée,=1
carnivore,=1
brillant,=2
dur,=60
périlleux,=1
nouveaux,=6
systématique,=1
suisse,=1
sec,=1
las,=1
normal,=6
sauvage,=1
gauche,=12
musicien,=1
royale,=2
facil,=1
mienne,=2
meilleure,=1
plat,=1
brillante,=2
collé,=1
possible,=5
prêt,=5
spécial,=1
ancienne,=1
vrais,=6
blanches,=6
désobéissants,=3
nouvelles,=7
longs,=5
ras,=1
soufflant,=1
pénible,=2
pointues,=3
vrai,=38
merveilleuse,=1
poilues,=1
évident,=1
malin,=2
musicale,=1
feutre,=1
cassé,=29
coincés,=1
jolies,=7
extérieur,=1
libres,=1
munis,=1
génial,=1
carrées,=1
bleu,=12
nouveau,=14
jaune,=92
verte,=61
dodu,=3
délicieux,=1
final,=4
préférés,=1
circulaire,=1
froissé,=1
neuves,=1
calme,=3
deux deux,=1
différente,=1
secret,=1
courts,=1
troisième,=8
vive,=1
précieux,=1
anglais,=1
sympa,=2
nombreuses,=1
dures,=1
anciens,=1
sacré,=1
bonne,=95
mini,=1
facile,=4
grands,=34
quatrième,=1
timide,=1
craquantes,=1
gentil,=21
deux,=2
immonde,=1
vaste,=1
direct,=1
aune,=1
exagères,=3
marrant,=5
extraordinaire,=1
fuyante,=1
même,=270
long,=16
bleus,=17
jolis,=13
transporteurs,=1
reaux,=1
adulte,=1
discrèt,=1
sauteuse,=1
collant,=3
vertes,=6
chaise+longue,=1
allongée,=1
impeccable,=1
malins,=1
clefs,=1
intéressant,=3
chéris,=4
tricolore,=1
jeune,=13
sensible,=1
étonnant,=2
gourmand,=1
maussade,=1
roses,=6
américains,=3
étrange,=2
grosse,=83
grognon,=1
hérisson,=1
couteau,=1
fort,=17
fatigué,=1
nécessaire,=1
intéressantes,=1
mécaniques,=5
nul,=1
bleues,=13
mauvaise,=9
nu,=1
embêtant,=1
complet,=2
vieil,=2
féminine,=1
salé,=1
en_bas,=7
sérieuses,=1
ailé,=1
délicat,=1
violet,=2
plouf,=1
scintille,=1
adorable,=1
seule,=17
désagréable,=2
curieuse,=1
brun,=36
vide,=1
noir,=23
fameux,=1
mouillé,=2
bref,=1
curieux,=4
cadeaux,=1
gris,=9
canaille,=1
télescopique,=1
sûr,=7
complique,=1
foncé,=7
vilain,=2
coincé,=4
mortes,=1
enchantée,=1
premiers,=2
neufs,=1
complèt,=3
douzième,=2
meilleurs,=1
cinquième,=1
premier,=18
noire,=13
pleine,=9
des::petites,=1
grasses,=3
entièr,=1
longues,=3
mince,=2
gentille,=5
blanc,=28
magique,=20
déguisé,=2
tranquille,=5
spéciale,=3
grand,=226
propre,=9
incomplet,=1
mordeur,=1
bruyants,=1
dernière,=47
tits,=310
jolie,=19
triangulaire,=1
bleue,=31
rond,=46
fantastique,=1
pendantes,=1
gentils,=1
gros,=259
lourde,=3
difficiles,=1
tranquilles,=1
solides,=1
fameuse,=1
tiède,=2
gastronomique,=1
favori,=1
bête,=1
pur,=1
beau,=136
affreuse,=1
mêmes,=43
bizarre,=4
glauque,=1
bas,=27
reux,=1
faux,=2
verts,=12
jaunes,=20
musical,=1
sage,=4
tel,=2
effrayante,=4
première,=34
douces,=3
ronde,=2
bavard,=1
géant,=5
trompe,=1
différent,=1
sympas,=1
prête,=9
méchant,=22
cuit,=1
grande,=150
ferme,=28
jeunes,=1
fantôme,=3
grandes,=44
ravissante,=1
exceptionnel,=1
fausse,=2
haute,=4
rondes,=1
clair,=7
différents,=1
courte,=1
malheureuse,=1
léger,=2
morphologique,=1
terrible,=4
fermés,=1
roux,=1
deuxième,=29
malheureux,=2
fragiles,=1
élastiques,=1
entier,=8
doux,=2
vraie,=8
chaud,=34
collantes,=2
sucrées,=1
jalouses,=1
linguistique,=1
blanche,=13
courtes,=2
bon,=244
radieux,=1
rose,=46
blonds,=1
minces,=1
principal,=1
haut,=22
caché,=8
autre,=685
nouvelle,=13
fourrés,=1
fleuri,=3
sinueux,=1
immense,=1
tricolores,=1
blancs,=7
collective,=1
grave,=2
pompiers,=8
naturel,=1
derniers,=2
préférées,=2
magnifiques,=2
para,=1
perplexe,=1
calmes,=1
propres,=2
froide,=2
stupide,=1
chouette,=2
petits,=244
volant,=1
châtains,=1
court,=24
rigolo,=7
sûre,=3
tordue,=1
modernes,=1
raide,=2
recherchais,=1
utiles,=1
contente,=3
câlins,=1
crapule,=1
pareil,=10
orange,=27
soigneux,=1
méchantes,=1
pauvres,=2
domestique,=1
ça_y_est,=2
italien,=1
dingue,=1
petites,=158
sale,=7
aiguës,=1
superbe,=1
petit,=928
nulle,=2
inconnue,=1
rouge,=177
râpées,=1
soudaine,=1
grec,=1
médicaux,=1
remarque,=1
amies,=1
seul,=37
mauvais,=9
dernier,=16
prochain,=9
vieilles,=1
noirs,=7
entière,=2
professionnelle,=1
heureuse,=1
ouvres,=1
pauvre,=9
chaudes,=3
ennemis,=1
amateur,=2
sauvages,=2
magiques,=1
somptueuse,=1
aies,=1
dure,=1
efficace,=3
sales,=4
formidable,=2
déterminante,=1
pleins,=1
sombre,=5
compris,=6
rousse,=10
identiques,=1
seconde,=1
vraies,=7
volante,=2
coquin,=6
lointaine,=1
pompier,=6
neuve,=1
microscopique,=1
pleines,=3
marrons,=2
froid,=22
officiel,=1
laitier,=1
creux,=3
ouvert,=3
cassée,=2
molle,=1
différentes,=1
gourmands,=1
renarde,=1
effroyables,=1
chauds,=2
lourd,=12
premières,=2
vides,=3
énorme,=6
plastique,=4
plastiques,=1
malade,=3
sages,=2
mécanique,=44
petite,=633
ambulante,=2
pneumatique,=1
rouges,=25
gigognes,=1
tombante,=1
prochaine,=26
arabes,=2
particulière,=5
grosses,=25
