Word, Count
meilleur,=5
cygnes,=1
charmant,=2
quatres,=2
super,=11
droit,=2
acoustique,=2
double,=3
drôle,=1
moderne,=1
carré,=7
perturbateur,=1
triste,=3
tordu,=2
incroyable,=1
dingo,=1
suivant,=4
royal,=2
imagines,=1
radical,=1
excité,=1
marteaux,=1
zéro,=2
préféré,=3
joli,=93
cane,=1
muni,=1
soudain,=1
neuf,=3
parfait,=4
technique,=1
magnifique,=3
quelque,=2
moindre,=4
quels,=2
second,=1
minuscule,=8
content,=10
vieux,=13
fourré,=1
rad,=1
joyeux,=4
frais,=4
particulier,=6
rusé,=2
juste,=6
inquiet,=1
dangereux,=1
vert,=130
moi,=1
fragile,=1
arrière,=1
violent,=1
censé,=2
certain,=1
blond,=2
solaire,=1
taupe,=2
difficile,=5
fou,=7
quel,=1
carnivore,=1
brillant,=4
arabe,=2
dur,=62
périlleux,=1
systématique,=1
suisse,=1
mort,=1
jaloux,=1
sec,=1
las,=1
normal,=6
sauvage,=3
gauche,=12
ambulant,=2
musicien,=1
facil,=1
féminin,=1
plat,=1
pointu,=3
collé,=1
possible,=5
prêt,=14
spécial,=4
bruyant,=1
plein,=13
ras,=1
soufflant,=1
pénible,=2
vrai,=59
évident,=1
malin,=3
feutre,=1
cassé,=32
extérieur,=1
génial,=1
bleu,=73
nouveau,=41
jaune,=112
dodu,=3
délicieux,=1
final,=4
circulaire,=1
froissé,=1
déterminant,=1
tombant,=1
calme,=4
secret,=1
châtain,=1
troisième,=8
précieux,=1
anglais,=1
somptueux,=1
sympa,=3
sacré,=3
marron,=2
mini,=1
facile,=4
quatrième,=1
timide,=1
craquantes,=1
gentil,=27
deux,=3
immonde,=1
vaste,=1
direct,=1
aune,=1
exagères,=3
marrant,=5
extraordinaire,=1
même,=313
long,=24
transporteurs,=1
reaux,=1
adulte,=1
discrèt,=1
sauteuse,=1
collant,=5
chaise+longue,=1
impeccable,=1
affreux,=1
clefs,=1
utile,=1
intéressant,=4
tricolore,=2
jeune,=14
sensible,=1
étonnant,=2
gourmand,=2
maussade,=1
étrange,=2
grognon,=1
hérisson,=1
couteau,=1
fort,=17
fatigué,=1
nécessaire,=1
nul,=3
nu,=1
embêtant,=1
complet,=2
sucré,=1
salé,=3
en_bas,=7
ailé,=1
délicat,=1
violet,=8
plouf,=1
scintille,=1
adorable,=1
désagréable,=2
brun,=37
vide,=4
noir,=47
fameux,=2
mouillé,=2
effrayant,=4
bref,=1
curieux,=5
cadeaux,=1
gris,=10
canaille,=1
télescopique,=1
sûr,=10
complique,=1
foncé,=7
vilain,=2
coincé,=5
brut,=3
nombreux,=1
complèt,=3
douzième,=2
cinquième,=1
premier,=56
des::petites,=1
entièr,=1
mince,=3
blanc,=54
magique,=21
déguisé,=2
désobéissant,=3
tranquille,=6
grand,=454
propre,=11
incomplet,=1
mordeur,=1
triangulaire,=1
rond,=49
fantastique,=1
gros,=367
ravissant,=1
japonais,=1
tiède,=2
gastronomique,=1
favori,=1
bête,=1
pur,=1
ennemi,=1
beau,=171
ami,=1
bizarre,=4
glauque,=1
bas,=29
reux,=1
merveilleux,=1
faux,=4
musical,=2
sérieux,=1
sage,=6
tel,=2
différent,=4
bavard,=1
géant,=6
trompe,=1
solide,=1
méchant,=23
cuit,=1
ferme,=28
fantôme,=3
mou,=1
exceptionnel,=1
clair,=7
américain,=3
léger,=2
morphologique,=1
terrible,=4
roux,=11
deuxième,=29
malheureux,=3
désolé,=1
doux,=6
entier,=10
ventral,=1
chaud,=44
élastique,=1
linguistique,=1
bon,=349
radieux,=1
chéri,=4
rose,=52
principal,=1
haut,=26
caché,=8
autre,=755
fleuri,=3
sinueux,=1
libre,=1
immense,=1
grave,=2
allongé,=1
naturel,=1
complémentaire,=1
para,=1
perplexe,=1
chouette,=2
stupide,=1
volant,=1
médical,=1
court,=28
râpé,=1
rigolo,=7
ancien,=2
raide,=2
recherchais,=1
câlin,=1
crapule,=1
professionnel,=1
pareil,=10
animé,=3
orange,=27
soigneux,=1
fermé,=1
domestique,=1
ça_y_est,=2
italien,=1
dingue,=1
sale,=11
superbe,=1
petit,=2273
enchanté,=1
rouge,=202
vif,=1
poilu,=1
grec,=1
remarque,=1
seul,=54
inconnu,=1
mauvais,=18
dernier,=65
prochain,=35
heureux,=1
ouvres,=1
pauvre,=11
fuyant,=1
gigogne,=1
amateur,=2
aies,=1
effroyable,=1
efficace,=3
formidable,=2
sombre,=5
compris,=6
identique,=1
volante,=2
coquin,=9
pendant,=1
pompier,=14
lointain,=1
microscopique,=1
froid,=24
officiel,=1
mien,=2
laitier,=1
creux,=3
gras,=3
ouvert,=3
aigu,=1
renarde,=1
collectif,=1
lourd,=15
énorme,=6
plastique,=5
malade,=3
fin,=1
mécanique,=49
pneumatique,=1
