Word, Count
dur,=49
tel,=2
normal,=6
allongé,=1
américain,=3
anglais,=1
lourd,=12
en_bas,=5
bleu,=48
glauque,=1
fantôme,=3
meilleur,=5
petit,=1589
court,=16
autre,=563
méchant,=13
impeccable,=1
musical,=2
drôle,=1
froissé,=1
pneumatique,=1
plat,=1
gras,=1
collectif,=1
deuxième,=28
perturbateur,=1
pauvre,=11
bavard,=1
pénible,=2
géant,=6
mou,=1
mini,=1
précieux,=1
fantastique,=1
triangulaire,=1
royal,=2
mince,=2
premier,=52
content,=10
bon,=311
utile,=1
dangereux,=1
quatrième,=1
sensible,=1
systématique,=1
ventral,=1
mouillé,=1
bizarre,=4
secret,=1
deux,=2
zéro,=2
linguistique,=1
droit,=2
aigu,=1
vif,=1
joyeux,=4
japonais,=1
hérisson,=1
nul,=1
jeune,=14
mort,=1
plein,=13
crapule,=1
inconnu,=1
moi,=1
rigolo,=4
malin,=3
exagères,=3
magique,=18
magnifique,=3
imagines,=1
trompe,=1
domestique,=1
ami,=1
cadeaux,=1
ferme,=24
embêtant,=1
compris,=6
effrayant,=4
reux,=1
lointain,=1
sinueux,=1
troisième,=8
gastronomique,=1
charmant,=2
immense,=1
officiel,=1
immonde,=1
ouvres,=1
préféré,=2
radieux,=1
ancien,=2
malade,=2
professionnel,=1
sympa,=3
renarde,=1
bas,=21
soigneux,=1
complique,=1
fourré,=1
entièr,=1
terrible,=4
étrange,=2
frais,=4
plastique,=4
pur,=1
triste,=2
gris,=7
rouge,=145
musicien,=1
déterminant,=1
rond,=6
dingue,=1
dingo,=1
câlin,=1
ouvert,=2
marrant,=5
complet,=2
génial,=1
suisse,=1
scintille,=1
coincé,=4
fleuri,=3
désolé,=1
chaud,=29
bruyant,=1
gigogne,=1
ennemi,=1
froid,=14
efficace,=3
étonnant,=2
prochain,=34
violent,=1
violet,=7
somptueux,=1
désagréable,=2
grec,=1
gentil,=15
rose,=30
nombreux,=1
neuf,=3
laitier,=1
pareil,=8
marron,=2
quel,=1
amateur,=2
facile,=3
canaille,=1
exceptionnel,=1
rusé,=2
remarque,=1
marteaux,=1
moderne,=1
des::petites,=1
délicat,=1
extérieur,=1
reaux,=1
clair,=5
orange,=25
gros,=237
léger,=2
complémentaire,=1
microscopique,=1
feutre,=1
sûr,=10
chéri,=2
féminin,=1
enchanté,=1
cinquième,=1
super,=11
timide,=1
ambulant,=2
désobéissant,=3
sombre,=4
sucré,=1
noir,=36
incroyable,=1
caché,=6
solide,=1
mordeur,=1
rad,=1
grognon,=1
jaune,=75
sauvage,=3
nouveau,=40
merveilleux,=1
télescopique,=1
formidable,=2
malheureux,=2
radical,=1
acoustique,=2
jaloux,=1
propre,=10
gourmand,=1
aune,=1
nu,=1
cane,=1
ailé,=1
juste,=6
naturel,=1
difficile,=5
pendant,=1
poilu,=1
foncé,=6
blond,=2
tranquille,=6
incomplet,=1
suivant,=4
parfait,=4
tordu,=2
pointu,=2
muni,=1
maussade,=1
sauteuse,=1
solaire,=1
sale,=8
même,=254
ravissant,=1
second,=1
fuyant,=1
prêt,=10
favori,=1
superbe,=1
beau,=107
principal,=1
différent,=4
périlleux,=1
mauvais,=17
aies,=1
quatres,=2
ras,=1
excité,=1
haut,=13
vrai,=54
déguisé,=2
morphologique,=1
possible,=5
fameux,=2
vert,=97
fragile,=1
arabe,=2
moindre,=4
brillant,=1
carnivore,=1
chouette,=2
grave,=2
vieux,=12
cygnes,=1
vaste,=1
adorable,=1
doux,=4
salé,=3
inquiet,=1
médical,=1
identique,=1
énorme,=5
certain,=1
cuit,=1
long,=20
direct,=1
faux,=4
dernier,=55
fin,=1
volante,=2
quels,=2
censé,=2
heureux,=1
sérieux,=1
sage,=4
tricolore,=2
blanc,=42
circulaire,=1
extraordinaire,=1
raide,=2
coquin,=6
élastique,=1
mécanique,=22
discrèt,=1
roux,=10
soudain,=1
libre,=1
curieux,=5
délicieux,=1
recherchais,=1
entier,=8
calme,=4
stupide,=1
facil,=1
seul,=45
nécessaire,=1
complèt,=3
vide,=4
tombant,=1
sacré,=3
double,=2
brut,=3
final,=4
collant,=4
spécial,=4
mien,=2
chaise+longue,=1
italien,=1
grand,=289
gauche,=11
technique,=1
brun,=31
évident,=1
cassé,=4
tiède,=2
volant,=1
particulier,=6
effroyable,=1
minuscule,=1
fort,=9
carré,=6
intéressant,=4
douzième,=2
bref,=1
creux,=3
affreux,=1
fou,=7
quelque,=2
joli,=80
perplexe,=1
craquantes,=1
