Word, Count
las,=1
dur,=13
gros,=130
fermé,=1
vieux,=1
chéri,=2
couteau,=1
para,=1
lourd,=3
en_bas,=2
bleu,=25
préféré,=1
sombre,=1
noir,=11
petit,=684
doux,=2
court,=12
malade,=1
adulte,=1
méchant,=10
autre,=192
caché,=2
bête,=1
bas,=8
énorme,=1
taupe,=2
plastique,=1
gras,=2
long,=4
deuxième,=1
triste,=1
animé,=3
jaune,=37
dernier,=10
nouveau,=1
gris,=3
rouge,=57
collé,=1
malheureux,=1
sage,=2
rond,=43
râpé,=1
blanc,=12
propre,=1
gourmand,=1
ouvert,=1
coquin,=3
ça_y_est,=2
mécanique,=27
roux,=1
mince,=1
coincé,=1
premier,=4
bon,=38
entier,=2
chaud,=15
foncé,=1
châtain,=1
seul,=9
pointu,=1
froid,=10
clefs,=1
vilain,=2
mouillé,=1
prochain,=1
sale,=3
même,=59
violet,=1
deux,=1
double,=1
prêt,=4
plouf,=1
beau,=64
collant,=1
gentil,=12
transporteurs,=1
nul,=2
fatigué,=1
rose,=22
gauche,=1
grand,=165
brun,=6
mauvais,=1
cassé,=28
arrière,=1
pareil,=2
rigolo,=3
minuscule,=7
haut,=13
fort,=8
magique,=3
vrai,=5
carré,=1
facile,=1
vert,=33
joli,=13
dodu,=3
soufflant,=1
ferme,=4
brillant,=3
sec,=1
pompier,=14
clair,=2
orange,=2
