Word, Count
caché,=8
derniers,=2
froide,=2
léger,=2
quels,=2
professionnelle,=1
vrai,=38
rigolo,=7
orange,=27
calmes,=1
pénible,=2
embêtant,=1
propres,=2
magique,=20
difficiles,=1
chéris,=4
plastiques,=1
grognon,=1
prêt,=5
brillant,=2
même,=270
suivante,=4
extraordinaire,=1
remarque,=1
mauvais,=9
curieux,=4
entièr,=1
tricolore,=1
deux,=2
seule,=17
feutre,=1
coincé,=4
chaude,=5
plat,=1
prochain,=9
favori,=1
deuxième,=29
craquantes,=1
fameux,=1
vertes,=6
timide,=1
haut,=22
rouges,=25
chauds,=2
déterminante,=1
gros,=259
violet,=2
jalouses,=1
enchantée,=1
froid,=22
efficace,=3
meilleure,=1
malheureuse,=1
bonnes,=8
tranquille,=5
musicien,=1
certain,=1
magnifiques,=2
meilleur,=3
cygnes,=1
longs,=5
joyeux,=4
spécial,=1
musicale,=1
gigognes,=1
sûre,=3
marrant,=5
chaise+longue,=1
fameuse,=1
complèt,=3
en_bas,=7
glauque,=1
blonds,=1
nulle,=2
possible,=5
tits,=310
italien,=1
gentil,=21
périlleux,=1
sacrée,=2
formidable,=2
sage,=4
différente,=1
pompiers,=8
droit,=2
violette,=4
inquiet,=1
premières,=2
neuves,=1
plouf,=1
collé,=1
étonnant,=2
autre,=685
arabes,=2
fantôme,=1
fausse,=2
bruyants,=1
troisième,=8
entière,=2
discrèt,=1
premiers,=2
reaux,=1
blond,=1
cuit,=1
pleines,=3
blanc,=28
impeccable,=1
perturbateur,=1
radieux,=1
propre,=9
magiques,=1
japonaise,=1
modernes,=1
autres,=70
grosse,=83
première,=34
brute,=3
somptueuse,=1
mince,=2
musical,=1
lourde,=3
amies,=1
terrible,=4
contente,=3
désagréable,=2
pointues,=3
pareil,=10
ravissante,=1
malin,=2
bonne,=95
dur,=60
nouveaux,=6
reux,=1
frais,=3
charmant,=2
grande,=150
creux,=3
gentille,=5
différentes,=1
drôle,=1
crapule,=1
cadeaux,=1
médicaux,=1
dingo,=1
méchantes,=1
taupe,=2
tordue,=1
tiède,=2
roux,=1
étrange,=2
pneumatique,=1
haute,=4
ambulante,=2
naturel,=1
nouvel,=1
vert,=51
beaux,=14
collant,=3
dernier,=16
gris,=9
secret,=1
mienne,=2
sauvage,=1
entier,=8
adorable,=1
petite,=633
laitier,=1
ennemis,=1
mortes,=1
foncé,=7
tel,=2
courte,=1
désobéissants,=3
dangereux,=1
mordeur},=1
fantastique,=1
cassés,=1
minces,=1
carnivore,=1
sûr,=7
radical,=1
exagères,=3
double,=3
jolis,=13
quatres,=2
clair,=7
collective,=1
perplexe,=1
mêmes,=43
grands,=34
grosses,=25
solaire,=1
noire,=13
bavard,=1
méchant,=22
merveilleuse,=1
prête,=9
arrière,=1
exceptionnel,=1
para,=1
sauvages,=2
mouillé,=2
vrais,=6
rase,=1
déguisé,=2
facil,=1
nul,=1
ouvert,=3
jeune,=13
meilleurs,=1
nouvelles,=7
facile,=4
adulte,=1
anglais,=1
rusé,=2
morphologique,=1
longues,=3
lointaine,=1
moindre,=4
gourmands,=1
roses,=6
scintille,=1
marrons,=2
brun,=36
blancs,=7
volant,=1
pleine,=9
coquin,=6
grasses,=3
télescopique,=1
censé,=2
délicat,=1
final,=4
officiel,=1
allongée,=1
intéressantes,=1
complique,=1
sales,=4
ça_y_est,=2
fous,=2
soudaine,=1
court,=24
vieilles,=1
super,=11
basse,=2
libres,=1
vive,=1
sages,=2
rose,=46
douce,=1
châtains,=1
américains,=3
joli,=54
sale,=7
lourd,=12
chouette,=2
fantôme},=2
utiles,=1
des::petites,=1
tranquilles,=1
cinquième,=1
gourmand,=1
violent,=1
noir,=23
gentils,=1
aies,=1
tricolores,=1
nu,=1
vides,=3
jeunes,=1
nouveau,=14
effroyables,=1
brillante,=2
fraîche,=1
affreuse,=1
préférés,=1
pleins,=1
collantes,=2
ras,=1
petites,=158
fine,=1
vide,=1
rouge,=176
bleus,=17
ancienne,=1
cassée,=2
coquins,=1
bref,=1
courts,=1
mini,=1
chaud,=34
quelque,=2
neufs,=1
grave,=2
gastronomique},=1
grandes,=44
zéro,=2
malheureux,=2
mauvaise,=9
bête,=1
stupide,=1
poilues,=1
énorme,=6
pur,=1
clefs,=1
nécessaire,=1
imagines,=1
juste,=6
blanches,=6
sensible,=1
noires,=4
magnifique,=1
excité,=1
munis,=1
fourrés,=1
ouvres,=1
complet,=2
dodu,=3
bleue,=31
technique,=1
extérieur,=1
tordu,=1
quel,=1
soigneux,=1
recherchais,=1
dingue,=1
câlins,=1
vraie,=8
circulaire,=1
différent,=1
ailé,=1
maussade,=1
salé,=1
triangulaire,=1
transporteurs,=1
chaudes,=3
incroyable,=1
long,=16
cane,=1
beau,=136
pauvre,=9
vraies,=7
vilain,=2
froissé,=1
particulier,=1
bleu,=12
mécaniques,=5
parfait,=4
grand,=226
fuyante,=1
difficile,=4
râpées,=1
plastique,=4
deux deux,=1
sauteuse,=1
animés,=3
pauvres,=2
nouvelle,=13
las,=1
aiguës,=1
fatigué,=1
évident,=1
petits,=244
bons,=2
jolies,=7
ronde,=2
sec,=1
seul,=37
neuve,=1
mécanique{elle,=2
rond,=46
intéressant,=3
brunes,=1
bel,=5
normal,=6
jaunes,=20
nombreuses,=1
salées,=2
verts,=12
bleues,=13
dure,=1
cassé,=29
sérieuses,=1
rouge{pour,=1
dures,=1
coquine,=2
bizarre,=4
raide,=2
couteau,=1
sinueux,=1
verte,=61
gauche,=12
immonde,=1
fermés,=1
rondes,=1
désolée,=1
royale,=2
vaste,=1
systématique,=1
soufflant,=1
blanche,=13
fou,=5
douzième,=2
trompe,=1
renarde,=1
préférées,=2
anciens,=1
acoustique,=2
pendantes,=1
jaune,=92
moi},=1
suisse,=1
seconde,=1
direct,=1
pompier,=6
canaille,=1
grise,=1
superbe},=1
volante,=2
fragiles,=1
douces,=3
rousse,=10
quatrième,=1
sympas,=1
particulière,=5
sombre,=5
principal,=1
premier,=18
inconnue,=1
microscopique,=1
coincés,=1
malade,=3
calme,=3
heureuse,=1
effrayante,=4
fleuri,=3
amateur,=2
délicieux,=1
tombante,=1
spéciale,=3
aune,=1
ferme,=28
élastiques,=1
noirs,=7
génial,=1
hérisson,=1
féminine,=1
complémentaires,=1
jolie,=19
faux,=2
grec,=1
carrée,=1
différents,=1
mécanique,=42
vieux,=10
petit,=928
linguistique,=1
précieux,=1
géant,=5
compris,=6
courtes,=2
sacré,=1
bas,=27
identiques,=1
incomplet,=1
bon,=244
immense,=1
minuscule,=8
marteaux,=1
curieuse,=1
violettes,=2
malins,=1
triste,=3
solides,=1
carrées,=1
content,=7
géants,=1
doux,=2
ventrale,=1
belles,=16
dernière,=47
sympa,=2
prochaine,=26
molle,=1
fort,=17
carré,=5
sucrées,=1
domestique,=1
vieil,=2
