Lemma, Full Count, Older, Younger, Older Prenominal, Older Postnominal, Younger Prenominal, Younger Postnominal
plastique,=4,=3,=1,=1,=2,=0,=1
pneumatique,=1,=1,=0,=0,=1,=0,=0
grave,=2,=2,=0,=2,=0,=0,=0
vide,=3,=3,=0,=1,=2,=0,=0
tricolore,=2,=2,=0,=0,=2,=0,=0
suisse,=1,=1,=0,=1,=0,=0,=0
aigu,=1,=1,=0,=0,=1,=0,=0
meilleur,=4,=4,=0,=3,=1,=0,=0
tordu,=2,=2,=0,=0,=2,=0,=0
pauvre,=9,=9,=0,=9,=0,=0,=0
sinueux,=1,=1,=0,=0,=1,=0,=0
cane,=1,=1,=0,=0,=1,=0,=0
taupe,=2,=0,=2,=0,=0,=0,=2
déterminant,=1,=1,=0,=0,=1,=0,=0
cadeaux,=1,=1,=0,=0,=1,=0,=0
soudain,=1,=1,=0,=0,=1,=0,=0
ravissant,=1,=1,=0,=0,=1,=0,=0
géant,=6,=6,=0,=1,=5,=0,=0
sérieux,=1,=1,=0,=0,=1,=0,=0
ça_y_est,=2,=0,=2,=0,=0,=0,=2
entier,=10,=8,=2,=0,=8,=1,=1
brun,=37,=31,=6,=0,=31,=0,=6
prochain,=35,=34,=1,=30,=4,=1,=0
sauvage,=3,=3,=0,=0,=3,=0,=0
suivant,=4,=4,=0,=0,=4,=0,=0
terrible,=4,=4,=0,=1,=3,=0,=0
adorable,=1,=1,=0,=1,=0,=0,=0
stupide,=1,=1,=0,=1,=0,=0,=0
énorme,=6,=5,=1,=4,=1,=1,=0
sympa,=3,=3,=0,=2,=1,=0,=0
cassé,=30,=2,=28,=1,=1,=9,=19
gros,=358,=228,=130,=224,=4,=123,=7
propre,=11,=10,=1,=1,=9,=0,=1
mort,=1,=1,=0,=0,=1,=0,=0
feutre,=1,=1,=0,=0,=1,=0,=0
clefs,=1,=0,=1,=0,=0,=0,=1
spécial,=4,=4,=0,=1,=3,=0,=0
professionnel,=1,=1,=0,=0,=1,=0,=0
raide,=2,=2,=0,=0,=2,=0,=0
froid,=24,=14,=10,=0,=14,=0,=10
gras,=3,=1,=2,=0,=1,=0,=2
collé,=1,=0,=1,=0,=0,=0,=1
facile,=4,=3,=1,=2,=1,=0,=1
violet,=8,=7,=1,=0,=7,=0,=1
marteaux,=1,=1,=0,=0,=1,=0,=0
las,=1,=0,=1,=0,=0,=1,=0
favori,=1,=1,=0,=0,=1,=0,=0
fuyant,=1,=1,=0,=0,=1,=0,=0
long,=24,=20,=4,=16,=4,=2,=2
douzième,=2,=2,=0,=2,=0,=0,=0
naturel,=1,=1,=0,=0,=1,=0,=0
sage,=6,=4,=2,=3,=1,=0,=2
carré,=7,=6,=1,=0,=6,=0,=1
para,=1,=0,=1,=0,=0,=1,=0
muni,=1,=1,=0,=0,=1,=0,=0
immense,=1,=1,=0,=1,=0,=0,=0
nombreux,=1,=1,=0,=1,=0,=0,=0
beau,=166,=102,=64,=98,=4,=58,=6
super,=11,=11,=0,=10,=1,=0,=0
gentil,=27,=15,=12,=9,=6,=7,=5
désagréable,=2,=2,=0,=0,=2,=0,=0
rad,=1,=1,=0,=0,=1,=0,=0
étrange,=2,=2,=0,=0,=2,=0,=0
allongé,=1,=1,=0,=0,=1,=0,=0
pareil,=10,=8,=2,=6,=2,=1,=1
léger,=2,=2,=0,=1,=1,=0,=0
nul,=3,=1,=2,=1,=0,=1,=1
mauvais,=15,=14,=1,=14,=0,=1,=0
arabe,=2,=2,=0,=0,=2,=0,=0
plat,=1,=1,=0,=0,=1,=0,=0
sombre,=4,=3,=1,=0,=3,=0,=1
gris,=10,=7,=3,=0,=7,=0,=3
tombant,=1,=1,=0,=0,=1,=0,=0
censé,=2,=2,=0,=2,=0,=0,=0
facil,=1,=1,=0,=0,=1,=0,=0
charmant,=2,=2,=0,=0,=2,=0,=0
calme,=1,=1,=0,=1,=0,=0,=0
mordeur,=1,=1,=0,=0,=1,=0,=0
coquin,=8,=5,=3,=0,=5,=3,=0
animé,=3,=0,=3,=0,=0,=0,=3
merveilleux,=1,=1,=0,=1,=0,=0,=0
ventral,=1,=1,=0,=0,=1,=0,=0
bon,=315,=279,=36,=246,=33,=28,=8
direct,=1,=1,=0,=0,=1,=0,=0
