Word, Count
caché,=8
effroyable,=1
léger,=2
quels,=2
vrai,=59
identique,=1
rigolo,=7
orange,=27
solide,=1
pénible,=2
second,=1
embêtant,=1
magique,=21
grognon,=1
prêt,=14
désobéissant,=3
brillant,=4
même,=313
ravissant,=1
extraordinaire,=1
remarque,=1
mauvais,=18
curieux,=5
entièr,=1
ambulant,=2
tricolore,=2
deux,=3
feutre,=1
coincé,=5
plat,=1
prochain,=35
favori,=1
allongé,=1
deuxième,=29
chéri,=4
craquantes,=1
fameux,=2
timide,=1
haut,=26
gros,=367
violet,=8
froid,=24
efficace,=3
tranquille,=6
musicien,=1
certain,=1
meilleur,=5
cygnes,=1
joyeux,=4
ami,=1
spécial,=4
marrant,=5
chaise+longue,=1
complèt,=3
en_bas,=7
glauque,=1
poilu,=1
possible,=5
italien,=1
gentil,=27
périlleux,=1
formidable,=2
sage,=6
droit,=2
inquiet,=1
plouf,=1
collé,=1
collectif,=1
étonnant,=2
autre,=755
fantôme,=1
fin,=1
troisième,=8
soudain,=1
médical,=1
discrèt,=1
reaux,=1
blond,=2
cuit,=1
blanc,=54
impeccable,=1
perturbateur,=1
radieux,=1
propre,=11
mien,=2
brut,=3
somptueux,=1
ventral,=1
câlin,=1
mince,=3
musical,=2
terrible,=4
désagréable,=2
pareil,=10
malin,=3
dur,=62
reux,=1
affreux,=1
frais,=4
charmant,=2
creux,=3
drôle,=1
crapule,=1
cadeaux,=1
fuyant,=1
dingo,=1
taupe,=2
jaloux,=1
tiède,=2
roux,=11
plein,=13
étrange,=2
pneumatique,=1
naturel,=1
américain,=3
vert,=130
féminin,=1
collant,=5
dernier,=65
gris,=10
secret,=1
sauvage,=3
entier,=10
adorable,=1
laitier,=1
foncé,=7
tel,=2
professionnel,=1
dangereux,=1
utile,=1
gigogne,=1
mordeur},=1
fantastique,=1
carnivore,=1
sûr,=10
radical,=1
exagères,=3
double,=3
quatres,=2
clair,=7
neuf,=3
perplexe,=1
solaire,=1
bavard,=1
méchant,=23
arrière,=1
exceptionnel,=1
para,=1
mouillé,=2
déguisé,=2
facil,=1
nul,=3
ouvert,=3
jeune,=14
facile,=4
adulte,=1
anglais,=1
préféré,=3
rusé,=2
morphologique,=1
moindre,=4
heureux,=1
scintille,=1
brun,=37
japonais,=1
volant,=1
coquin,=9
ennemi,=1
télescopique,=1
censé,=2
délicat,=1
final,=4
officiel,=1
ancien,=2
animé,=3
complique,=1
pointu,=3
ça_y_est,=2
fragile,=1
court,=28
super,=11
rose,=52
joli,=93
sale,=11
lourd,=15
chouette,=2
fantôme},=2
des::petites,=1
cinquième,=1
sucré,=1
gourmand,=2
violent,=1
déterminant,=1
noir,=47
aies,=1
mou,=1
nu,=1
marron,=2
nouveau,=41
ras,=1
vide,=4
élastique,=1
rouge,=201
pendant,=1
bref,=1
mini,=1
chaud,=44
quelque,=2
inconnu,=1
grave,=2
gastronomique},=1
zéro,=2
malheureux,=3
bête,=1
stupide,=1
suivant,=4
énorme,=6
pur,=1
clefs,=1
nécessaire,=1
imagines,=1
juste,=6
sensible,=1
magnifique,=3
excité,=1
ouvres,=1
râpé,=1
complet,=2
dodu,=3
moderne,=1
arabe,=2
technique,=1
châtain,=1
extérieur,=1
tordu,=2
quel,=1
soigneux,=1
recherchais,=1
dingue,=1
circulaire,=1
différent,=4
ailé,=1
maussade,=1
salé,=3
triangulaire,=1
mort,=1
transporteurs,=1
incroyable,=1
long,=24
cane,=1
beau,=171
pauvre,=11
vilain,=2
froissé,=1
particulier,=6
bleu,=73
lointain,=1
parfait,=4
grand,=454
sauteuse,=1
difficile,=5
plastique,=5
désolé,=1
las,=1
fatigué,=1
bruyant,=1
évident,=1
sec,=1
seul,=54
royal,=2
rad,=1
mécanique{elle,=2
rond,=49
intéressant,=4
normal,=6
cassé,=32
rouge{pour,=1
bizarre,=4
raide,=2
couteau,=1
sinueux,=1
gauche,=12
immonde,=1
complémentaire,=1
vaste,=1
vif,=1
systématique,=1
soufflant,=1
fou,=7
fermé,=1
douzième,=2
trompe,=1
renarde,=1
acoustique,=2
jaune,=112
moi},=1
suisse,=1
direct,=1
pompier,=14
canaille,=1
libre,=1
superbe},=1
volante,=2
enchanté,=1
quatrième,=1
sombre,=5
principal,=1
premier,=56
microscopique,=1
fourré,=1
malade,=3
calme,=4
nombreux,=1
fleuri,=3
amateur,=2
délicieux,=1
gras,=3
aune,=1
ferme,=28
génial,=1
hérisson,=1
aigu,=1
muni,=1
faux,=4
grec,=1
mécanique,=47
vieux,=13
petit,=2273
linguistique,=1
sérieux,=1
effrayant,=4
précieux,=1
géant,=6
compris,=6
sacré,=3
bas,=29
tombant,=1
incomplet,=1
bon,=349
immense,=1
minuscule,=8
marteaux,=1
triste,=3
content,=10
doux,=6
sympa,=3
fort,=17
merveilleux,=1
carré,=7
domestique,=1
