,air,ami,ana,animal,anniversaire,année,araignée,arbre,assiette,avion,bain,balle,ballon,bateau,bec,bib,biberon,bisou,bleu,bois,boite,bonbon,bonhomme,bonhommes,bord,bosse,botte,bouche,boule,bout,bouteille,bouton,boîte,bras,bruit,bébé,bête,bêtise,c,cabane,caca,cache+cache,cadeau,caillou,camion,canapé,canard,carré,carte,carton,casquette,cerf,chagrin,chaise,chambre,chanson,chapeau,chaperon,chat,chausson,chaussure,cheval,cheveux,chien,chose,château,clown,coccinelle,cochon,coeur,coin,collier,corne,couche,couette,couleur,coup,crayon,crotte,cuillère,câlin,côté,d,dame,dauphin,dent,dessin,dodo,doigt,e,eau,en_plus,endroit,enfant,escargot,faim,fait,famille,fantôme,fenêtre,fesse,feu,feuille,fille,film,fin,fleur,foi,forme,front,frère,gant,garçon,gommette,grain,graine,grenouille,gâteau,habit,haricot,hein,heure,hippopotame,histoire,homme,hop,hélice,i,idée,image,j,jambe,jeu,jouet,jour,l,lait,langue,lapin,lettre,lion,lit,livre,locomotive,loup,lumière,lune,lunette,magasin,main,maison,maman,manche,marche,ment,merci,micro,miette,monsieur,morceau,mot,mousse,mouton,mur,méchant,nat,nez,noeud,nounours,nuage,oeil,oeuf,oeuvre,oiseau,oreille,ouais,oui,ours,ourse,p,pa,page,panda,pantalon,papa,papillon,paquet,parc,part,patte,peinture,pelle,perle,personnage,photo,pied,pile,pinceau,pipi,pièce,place,plan,poche,poil,point,poire,pois,poisson,pomme,pompier,poney,pot,pouce,poule,poupée,poussette,poussin,problème,puzzle,pâte,queue,ra,rayure,renard,robe,rond,rouge,sac,sens,singe,sirène,soeur,soleil,sourire,souris,t,table,tableau,tabouret,tapis,tas,tasse,temps,tien,tigre,toi,tour,train,trait,trotte,trou,truc,tunnel,téléphone,tête,vache,vas_y,veau,ventre,verre,voiture,voix,vélo,xxx,yeux,yyy,éléphant,étoile
autre,=0,=3,=9,=12,=0,=0,=0,=9,=0,=0,=0,=12,=6,=6,=0,=9,=27,=0,=9,=0,=0,=0,=15,=6,=3,=0,=0,=0,=0,=24,=6,=3,=9,=27,=3,=21,=0,=0,=0,=0,=0,=0,=6,=0,=6,=0,=0,=0,=45,=0,=0,=0,=0,=30,=15,=6,=0,=0,=12,=18,=0,=0,=0,=6,=306,=3,=0,=0,=0,=0,=3,=0,=0,=3,=0,=21,=0,=3,=0,=9,=0,=189,=0,=6,=0,=0,=3,=0,=0,=0,=0,=0,=9,=12,=0,=0,=12,=9,=3,=0,=0,=0,=21,=3,=0,=0,=12,=33,=6,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=81,=0,=3,=9,=12,=24,=9,=3,=0,=54,=9,=27,=0,=0,=9,=9,=15,=0,=21,=72,=3,=0,=0,=0,=0,=0,=27,=12,=6,=0,=0,=0,=0,=0,=0,=0,=33,=0,=0,=0,=0,=0,=3,=0,=0,=3,=0,=6,=0,=0,=21,=15,=6,=9,=0,=0,=0,=6,=12,=0,=0,=6,=3,=0,=0,=0,=36,=0,=0,=3,=3,=6,=24,=12,=6,=0,=9,=0,=0,=3,=0,=0,=0,=0,=21,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=27,=6,=0,=3,=0,=0,=0,=3,=9,=0,=123,=0,=0,=0,=0,=0,=0,=0,=9,=3,=0,=0,=3,=0,=0,=0,=0,=3,=3,=9,=0,=0,=12,=3,=0,=6,=3,=0,=0,=0,=0,=3,=57,=0,=3,=12,=0,=33,=12,=0
bas,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=3,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=9,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=12,=0,=0
beau,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=27,=0,=0,=9,=0,=0,=0,=0,=3,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=57,=0,=18,=0,=3,=3,=0,=6,=6,=42,=0,=0,=0,=0,=0,=9,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=3,=0,=0,=3,=33,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=18,=0,=0,=6,=0,=0,=0,=0,=0,=6,=0,=21,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=3,=0,=0,=0,=12,=0,=3,=0,=6,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=6,=0,=3,=3,=0,=0,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=3,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=9,=9,=0,=0
blanc,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=18,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=6,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=9,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
bleu,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=3,=3,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=0,=0,=15,=0,=0,=0,=0,=0,=27,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=15,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=6,=0,=0,=3,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=6,=12,=3,=3
bon,=12,=0,=6,=0,=3,=0,=0,=0,=0,=0,=15,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=15,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=12,=0,=0,=0,=0,=15,=0,=0,=0,=0,=0,=0,=3,=3,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=15,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=117,=15,=0,=0,=0,=0,=0,=0,=165,=0,=27,=0,=3,=0,=0,=12,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=9,=0,=3,=0,=0,=3,=3,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=3,=18,=6,=0,=0,=15,=3,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=3,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=81,=0,=0,=0,=0,=0,=0,=18,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=6,=0,=0,=0,=0,=0,=3,=0,=0,=24,=0,=12,=0,=0
brun,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=93,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=15,=0,=0
cassé,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=42,=0,=0
chaud,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=12,=0,=0,=0,=0,=0,=48,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=12,=0,=0
dernier,=0,=0,=0,=0,=0,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=81,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=3,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=9,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=3,=0,=9,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3
