Word, Count
fantastique,=1
stupide,=1
fantôme,=1
pointu,=2
musical,=2
prêt,=10
orange,=25
terrible,=4
incomplet,=1
identique,=1
brillant,=1
direct,=1
nouveau,=40
rose,=30
différent,=4
effrayant,=4
difficile,=5
exagères,=3
dangereux,=1
pneumatique,=1
plat,=1
malade,=2
zéro,=2
royal,=2
foncé,=6
violet,=7
pénible,=2
complémentaire,=1
complèt,=3
moi},=1
périlleux,=1
américain,=3
lourd,=12
extraordinaire,=1
charmant,=2
nu,=1
immonde,=1
libre,=1
délicat,=1
anglais,=1
malheureux,=2
ailé,=1
malin,=3
gros,=237
méchant,=13
arabe,=2
long,=20
meilleur,=5
moindre,=4
douzième,=2
aies,=1
professionnel,=1
second,=1
cuit,=1
en_bas,=5
vrai,=54
nombreux,=1
gastronomique},=1
sauteuse,=1
triangulaire,=1
léger,=2
bizarre,=4
sacré,=3
fou,=7
mordeur},=1
suivant,=4
immense,=1
pur,=1
autre,=563
japonais,=1
entier,=8
morphologique,=1
sauvage,=3
moderne,=1
efficace,=3
mouillé,=1
lointain,=1
super,=11
tombant,=1
sûr,=10
bavard,=1
grave,=2
enchanté,=1
comprendre,=6
ami,=1
désobéissant,=3
adorable,=1
tordu,=2
cassé,=4
collant,=4
juste,=6
désagréable,=2
frais,=4
normal,=6
grognon,=1
déguisé,=2
cadeaux,=1
solide,=1
dur,=49
féminin,=1
inquiet,=1
favori,=1
évident,=1
étrange,=2
allongé,=1
gourmand,=1
complique,=1
gauche,=11
soigneux,=1
chouette,=2
inconnu,=1
censé,=2
hérisson,=1
facil,=1
faux,=4
jeune,=14
scintille,=1
complet,=2
bleu,=48
court,=16
clair,=5
crapule,=1
chaise+longue,=1
marron,=2
joyeux,=4
dingue,=1
fourré,=1
parfait,=4
tranquille,=6
merveilleux,=1
somptueux,=1
fin,=1
principal,=1
salé,=3
quel,=1
magique,=18
facile,=3
magnifique,=3
technique,=1
amateur,=2
domestique,=1
ras,=1
reux,=1
sinueux,=1
fleuri,=3
blanc,=42
brun,=31
entièr,=1
radieux,=1
tel,=2
rond,=6
bas,=21
désolé,=1
effroyable,=1
bruyant,=1
certain,=1
timide,=1
suisse,=1
des::petites,=1
roux,=10
premier,=52
neuf,=3
chaud,=29
nul,=1
pareil,=8
plastique,=4
solaire,=1
violent,=1
ouvres,=1
tricolore,=2
gras,=1
marrant,=5
troisième,=8
quelque,=2
recherchais,=1
nécessaire,=1
pauvre,=11
microscopique,=1
calme,=4
affreux,=1
triste,=2
spécial,=4
sucré,=1
canaille,=1
mien,=2
collectif,=1
sage,=4
embêtant,=1
poilu,=1
prochain,=34
joli,=80
possible,=5
ouvert,=2
tiède,=2
intéressant,=4
radical,=1
étonnant,=2
jaune,=75
utile,=1
content,=10
final,=4
précieux,=1
beau,=107
haut,=13
marteaux,=1
sombre,=4
carré,=6
délicieux,=1
gentil,=15
deuxième,=28
sale,=8
coincé,=4
sérieux,=1
énorme,=5
gigogne,=1
heureux,=1
pendant,=1
caché,=6
fuyant,=1
laitier,=1
muni,=1
cane,=1
bon,=311
raide,=2
ancien,=2
rusé,=2
remarque,=1
déterminant,=1
feutre,=1
câlin,=1
mou,=1
ventral,=1
naturel,=1
carnivore,=1
élastique,=1
extérieur,=1
brut,=3
propre,=10
vaste,=1
ennemi,=1
exceptionnel,=1
maussade,=1
froissé,=1
particulier,=6
mécanique,=22
cinquième,=1
superbe},=1
secret,=1
acoustique,=2
sympa,=3
mauvais,=17
quatres,=2
bref,=1
double,=2
vieux,=12
linguistique,=1
grand,=289
rigolo,=4
jaloux,=1
impeccable,=1
même,=254
chéri,=2
creux,=3
grec,=1
plein,=13
trompe,=1
blond,=2
fameux,=2
télescopique,=1
musicien,=1
froid,=14
fragile,=1
aune,=1
discrèt,=1
soudain,=1
rouge,=145
petit,=1589
dingo,=1
mince,=2
ravissant,=1
mort,=1
génial,=1
renarde,=1
gris,=7
imagines,=1
rad,=1
drôle,=1
quatrième,=1
vide,=4
formidable,=2
ferme,=24
coquin,=6
aigu,=1
ambulant,=2
volante,=2
droit,=2
italien,=1
préféré,=2
cygnes,=1
perplexe,=1
incroyable,=1
fantôme},=2
vif,=1
volant,=1
médical,=1
vert,=97
fort,=9
noir,=36
circulaire,=1
craquantes,=1
doux,=4
mini,=1
perturbateur,=1
minuscule,=1
dernier,=55
excité,=1
officiel,=1
systématique,=1
sensible,=1
curieux,=5
seul,=45
deux,=2
quels,=2
géant,=6
reaux,=1
glauque,=1
