Word, Count
fermé,=1
pompier,=14
double,=1
court,=12
bête,=1
dodu,=3
nul,=2
brillant,=3
rouge{pour,=1
brun,=6
méchant,=10
sec,=1
coincé,=1
sombre,=1
préféré,=1
râpé,=1
autre,=192
vrai,=5
carré,=1
premier,=4
noir,=11
rouge,=56
joli,=13
gros,=130
deux,=1
coquin,=3
pointu,=1
gentil,=12
mécanique,=25
plastique,=1
ça_y_est,=2
dernier,=10
vieux,=1
malheureux,=1
roux,=1
transporteurs,=1
bleu,=25
adulte,=1
clair,=2
gris,=3
malade,=1
vilain,=2
blanc,=12
pareil,=2
deuxième,=1
mince,=1
long,=4
froid,=10
haut,=13
soufflant,=1
gras,=2
même,=59
propre,=1
violet,=1
rigolo,=3
énorme,=1
mécanique{elle,=2
seul,=9
entier,=2
las,=1
foncé,=1
jaune,=37
rond,=43
couteau,=1
gourmand,=1
minuscule,=7
sale,=3
arrière,=1
caché,=2
en_bas,=2
plouf,=1
prêt,=4
nouveau,=1
prochain,=1
petit,=684
lourd,=3
cassé,=28
grand,=165
sage,=2
collant,=1
bas,=8
chaud,=15
mauvais,=1
taupe,=2
vert,=33
ferme,=4
animé,=3
mouillé,=1
fatigué,=1
para,=1
bon,=38
clefs,=1
dur,=13
rose,=22
fort,=8
beau,=64
chéri,=2
facile,=1
orange,=2
ouvert,=1
châtain,=1
gauche,=1
magique,=3
collé,=1
doux,=2
triste,=1
