Work, Count
complèt,=3
spéciale,=3
orange,=27
noire,=13
meilleur,=3
sages,=2
froid,=22
pneumatique,=1
précieux,=1
soufflant,=1
vrais,=6
nouvelle,=13
quelle,=20
fatigué,=1
musicale,=1
bref,=1
sales,=4
première,=34
courtes,=2
microscopique,=1
douce,=1
ferme,=28
quel,=1
roux,=1
préférées,=2
pur,=1
amies,=1
bel,=5
grosses,=25
Grincheux,=1
gris,=9
marteaux,=1
gentil,=22
gentille,=5
prête,=9
maint,=3
haut,=24
naturel,=1
gigognes,=1
lourd,=16
sympa,=2
violent,=1
malheureuse,=1
pleins,=1
deuxième,=30
télescopique,=1
mortes,=1
triangulaire,=1
circulaire,=1
animal,=1
drôle,=2
pleines,=3
jaunes,=20
haute,=4
fine,=1
systématique,=1
somptueuse,=1
volante,=2
long,=16
musical,=2
libres,=1
curieux,=4
pleine,=9
grande,=150
fourrés,=1
châtains,=1
transporteurs,=1
coincés,=1
vraies,=7
creux,=3
sombre,=5
cassé,=29
pauvre,=9
extérieur,=1
froissé,=1
bonnes,=8
ventrale,=1
sauteuse,=1
direct,=2
possible,=5
neuve,=1
brillante,=2
carnivore,=1
grec,=1
reaux,=1
facile,=4
plat,=1
superbe}.,=1
enchantée,=1
bruyant,=1
pompiers,=8
charmant,=2
tombante,=1
incomplet,=1
tranquille,=5
soudaine,=1
chaudes,=3
animés,=3
musicien,=1
cadeaux,=1
formidable,=2
laitier,=1
voisins,=1
deu,=1
sacré,=1
sympas,=1
anglais,=2
nouveau,=14
ambulante,=2
nu,=1
inconnue,=1
Peureux,=9
collant,=3
autre,=869
étonnant,=2
bavard,=1
parfait,=4
collantes,=2
immense,=1
reux,=1
mouillé,=2
fuyante,=1
merveilleuse,=1
imperméable,=1
brillant,=2
ouvert,=3
radical,=1
gastronomique}.,=1
dangereux,=1
poilues,=1
jolis,=13
arrière,=1
chaud,=34
royale,=2
belle,=49
premiers,=2
raide,=2
meilleurs,=1
dernier,=16
carré,=5
noirs,=7
plouf,=1
sec,=1
coquins,=1
chauds,=2
fantastique,=1
fraîche,=1
prêt,=5
grosse,=83
chaude,=5
courts,=1
nouveaux,=6
longs,=5
féminine,=1
fort,=17
complique,=1
affreuse,=1
tricolores,=1
différentes,=1
mordeur}.,=1
nulle,=2
carrées,=1
mauvaise,=9
désolée,=1
vrai,=39
grands,=34
canaille,=1
salé,=1
fantôme,=1
magnifiques,=2
embêtant,=1
violette,=4
seul,=40
violettes,=2
étrange,=2
rond,=46
censé,=2
