Work, Count
complèt,=3
voisin,=1
orange,=27
meilleur,=5
froid,=24
pneumatique,=1
précieux,=1
soufflant,=1
quelle,=20
fatigué,=1
fourré,=1
bref,=1
ami,=1
microscopique,=1
ferme,=28
quel,=1
roux,=11
pur,=1
comprendre,=7
enchanté,=1
gris,=10
marteaux,=1
gentil,=28
maint,=3
haut,=28
naturel,=1
lourd,=19
sympa,=3
violent,=1
deuxième,=30
télescopique,=1
gras,=3
neuf,=3
triangulaire,=1
circulaire,=1
animal,=1
drôle,=2
systématique,=1
volante,=2
long,=29
musical,=3
curieux,=5
tombant,=1
transporteurs,=1
creux,=3
sombre,=5
cassé,=32
pauvre,=11
extérieur,=1
froissé,=1
sauteuse,=1
direct,=2
possible,=5
carnivore,=1
grec,=1
reaux,=1
facile,=4
plat,=1
superbe}.,=1
médical,=1
bruyant,=2
charmant,=2
incomplet,=1
tranquille,=6
musicien,=1
cadeaux,=1
formidable,=2
laitier,=1
deu,=1
sacré,=3
anglais,=2
nouveau,=41
nu,=1
Peureux,=9
collant,=5
autre,=939
étonnant,=2
bavard,=1
parfait,=4
désolé,=1
immense,=1
reux,=1
mouillé,=2
imperméable,=1
brillant,=4
ouvert,=3
radical,=1
gastronomique}.,=1
muni,=1
dangereux,=1
élastique,=1
arrière,=1
chaud,=44
raide,=2
royal,=2
dernier,=65
carré,=7
plouf,=1
sec,=1
heureux,=1
fantastique,=1
prêt,=14
moderne,=1
fort,=17
complique,=1
sérieux,=1
fermé,=1
brut,=3
mordeur}.,=1
professionnel,=1
vrai,=60
salé,=3
canaille,=1
fantôme,=1
embêtant,=1
seul,=57
ambulant,=2
étrange,=2
rond,=49
censé,=2
mécanique{elle,=2
nul,=3
bon,=380
aune,=1
las,=1
dodu,=3
délicat,=1
solide,=1
ouvres,=1
inquiet,=2
bas,=32
fuyant,=1
brun,=38
énorme,=6
méchant,=32
vilain,=2
facil,=1
quatrième,=1
italien,=4
mécanique,=47
pouce,=1
libre,=1
aies,=1
solaire,=1
merveilleux,=1
acoustique,=2
cuit,=1
pénible,=2
jeune,=14
léger,=2
aigu,=1
vert,=131
rigolo,=7
certain,=1
dur,=63
{,=1
particulier,=6
triste,=3
quatres,=2
moindre,=4
perturbateur,=1
japonais,=1
final,=4
grand,=491
difficile,=5
parterre,=1
taupe,=2
ancien,=2
géant,=6
violet,=8
vaste,=1
châtain,=1
amusé,=1
lointain,=1
horrible,=1
technique,=1
ton,=23
impeccable,=1
morphologique,=1
foncé,=7
suisse,=1
gourmand,=2
joli,=95
jaune,=113
malin,=3
frais,=4
chouette,=2
pointu,=3
rusé,=2
double,=3
magnifique,=3
sensible,=1
recherchais,=1
douzième,=2
collé,=1
cane,=1
plein,=130
en_bas,=7
gros,=388
exagères,=3
zéro,=2
blond,=2
intéressant,=10
hérisson,=1
mort,=1
dingo,=1
chéri,=4
ça_y_est,=2
amateur,=2
fameux,=2
féminin,=1
prochain,=35
Petit_Pas,=3
clair,=7
trompe,=1
complémentaire,=1
animé,=3
adulte,=1
moi}.,=1
caché,=8
périlleux,=1
propre,=12
magique,=21
arabe,=2
tout,=5
tel,=2
cinquième,=1
collectif,=1
ennemi,=1
bête,=1
rase,=1
ailé,=1
maussade,=1
vif,=1
minuscule,=8
ravissant,=1
radieux,=1
fragile,=1
premier,=57
cette,=1
effrayant,=4
habillé:}.,=1
préféré,=3
dingue,=1
stupide,=1
entièr,=1
grognon,=1
juste,=6
soudain,=1
malheureux,=3
troisième,=8
nécessaire,=1
fou,=10
incroyable,=1
des::petites,=1
imagines,=1
rouge,=204
désobéissant,=3
perplexe,=1
jaloux,=1
ventral,=1
court,=28
feutre,=1
délicieux,=1
ras,=1
inconnu,=1
grave,=2
génial,=1
petit,=2006
craquantes,=1
discrèt,=1
normal,=7
utile,=1
marrant,=5
exceptionnel,=1
sale,=11
blanc,=55
adorable,=1
malade,=3
évident,=1
mini,=1
linguistique,=1
volant,=1
spécial,=4
officiel,=1
gigogne,=1
rouge{pour,=1
beau,=224
gauche,=12
sage,=6
fin,=1
super,=11
américain,=3
effroyable,=1
fleuri,=3
nombreux,=1
immonde,=1
mou,=1
désagréable,=2
bon}.,=5
Peureux.,=1
calme,=4
somptueux,=1
domestique,=1
sucré,=1
mauvais,=18
renarde,=1
seconde,=1
beurré,=1
noir,=48
déguisé,=2
coquin,=12
suivant,=4
pompier,=14
sauvage,=3
tordu,=2
Noune,=2
quels,=2
fantôme}.,=2
terrible,=4
content,=10
mince,=3
doux,=6
favori,=1
timide,=1
efficace,=4
bizarre,=4
tiède,=2
cygnes,=1
scintille,=1
glauque,=1
marron,=2
Mar,=1
rose,=53
mien,=2
clefs,=1
secret,=1
crapule,=1
joyeux,=4
même,=313
affamé,=1
deux,=1
grincheux,=1
câlin,=1
coincé,=6
sûr,=10
droit,=2
para,=1
vide,=4
sinueux,=1
deux}{deux,=2
chaise+longue,=1
bleu,=73
quelque,=2
vieux,=13
principal,=1
pendant,=1
soigneux,=1
entier,=10
agréable,=4
faux,=4
tits,=310
allongé,=1
différent,=4
poilu,=1
excité,=1
identique,=1
remarque,=1
tricolore,=2
complet,=2
couteau,=1
affreux,=1
râpé,=1
plastique,=5
déterminant,=1
extraordinaire,=1
pareil,=10
