adjective, prenominal count, postnominal count
adulte,0,1
arrière,0,1
bête,0,1
caché,1,0
carré,0,1
châtain,0,1
clefs,0,1
collant,0,1
collé,0,1
couteau,0,1
deux,1,0
deuxième,1,0
double,1,0
énorme,1,0
entier,0,1
fermé,0,1
foncé,0,1
gauche,0,1
las,1,0
lourd,1,0
malade,0,1
malheureux,1,0
mauvais,1,0
noir,2,7
nul,1,1
para,1,0
pareil,1,1
pointu,0,1
préféré,1,0
premier,3,0
propre,0,1
râpé,0,1
rigolo,0,3
sage,0,2
sûr,2,0
transporteurs,0,1
triste,0,1
vert,1,28
violet,0,1
brillant,0,2
chéri,0,2
clair,0,2
doux,1,1
ferme,1,1
gras,0,2
gris,0,3
orange,0,3
ouvert,1,0
petit,623,34
sale,0,2
seul,7,0
vilain,2,0
animé,0,3
dodu,0,3
long,1,2
magique,0,3
prêt,1,2
prochain,1,0
rond,0,11
bas,3,1
coquin,3,1
mouillé,0,1
vrai,8,0
dur,5,0
brun,0,6
même,58,0
sombre,0,1
nouveau,1,0
fort,0,8
court,1,8
froid,1,9
haut,6,3
dernier,11,0
joli,12,0
rose,0,21
chaud,5,7
gentil,7,4
blanc,0,12
cassé,10,5
rouge,4,53
bleu,0,23
jaune,3,22
méchant,10,2
vieux,1,0
bon,28,7
beau,58,5
roux,0,1
minuscule,2,2
gros,128,4
grand,162,4
autre,181,4
plouf,0,1
