adjective, prenominal count, postnominal count
petit,2484,90
rangé,0,0
grand,988,72
gros,396,31
même,1035,13
bon,941,20
parti,0,0
perdu,2,5
méchant,2,2
beau,331,55
tapé,0,0
mettre,0,0
vilain,4,1
neuf,2,11
moyen,7,40
droit,20,85
gardé,0,2
nul,2,3
fâché,0,0
sale,18,6
bleu,2,47
dernier,337,238
premier,791,38
gentil,6,10
bien,2,0
mal,0,0
fini,2,7
joli,41,10
fermé,0,14
partie,0,0
pauvre,19,14
froid,3,20
sec,1,12
partis,2,4
enlevé,0,0
chaud,3,27
dur,4,35
vert,6,78
pénible,1,5
habillé,0,0
paire,0,0
plein,111,50
noir,11,90
fort,30,45
immense,13,12
violet,0,2
nu,5,16
jaune,6,32
patibulaire,0,0
rouge,8,86
super,147,68
deuxième,237,9
tien,0,0
torse,0,0
donné,0,0
écrit,4,18
absent,0,2
pompier,1,1
long,81,49
difficile,0,46
vrai,197,7
désolé,0,5
seul,188,32
rose,1,12
meilleur,61,7
tranquille,5,21
floral,0,3
triste,2,4
balancé,0,0
blanc,9,141
haut,42,14
orange,0,7
riquiqui,0,1
marron,0,4
doux,3,13
reposé,0,0
écrasé,0,0
coquin,0,2
magique,0,14
châtain,0,0
râpé,0,0
propre,69,41
plat,1,12
brun,1,5
carré,0,33
creux,0,0
minuscule,1,1
réussi,0,0
gris,4,15
dodu,0,0
entier,0,63
défait,0,0
gluant,0,3
pointu,0,2
arrière,2,12
